'Time and date','EEG O1'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[23:27:16.228 06/02/2013]',-7.094
'[23:27:16.229 06/02/2013]',-7.125
'[23:27:16.229 06/02/2013]',-7.188
'[23:27:16.229 06/02/2013]',-7.219
'[23:27:16.230 06/02/2013]',-7.313
'[23:27:16.230 06/02/2013]',-7.406
'[23:27:16.231 06/02/2013]',-7.500
'[23:27:16.231 06/02/2013]',-7.625
'[23:27:16.232 06/02/2013]',-7.750
'[23:27:16.232 06/02/2013]',-7.906
'[23:27:16.233 06/02/2013]',-8.063
'[23:27:16.233 06/02/2013]',-8.250
'[23:27:16.234 06/02/2013]',-8.469
'[23:27:16.234 06/02/2013]',-8.688
'[23:27:16.235 06/02/2013]',-8.906
'[23:27:16.235 06/02/2013]',-9.156
'[23:27:16.236 06/02/2013]',-9.438
'[23:27:16.236 06/02/2013]',-9.719
'[23:27:16.237 06/02/2013]',-10.000
'[23:27:16.237 06/02/2013]',-10.313
'[23:27:16.238 06/02/2013]',-10.656
'[23:27:16.238 06/02/2013]',-10.969
'[23:27:16.239 06/02/2013]',-11.313
'[23:27:16.239 06/02/2013]',-11.656
'[23:27:16.240 06/02/2013]',-12.000
'[23:27:16.240 06/02/2013]',-12.344
'[23:27:16.241 06/02/2013]',-12.719
'[23:27:16.241 06/02/2013]',-13.063
'[23:27:16.242 06/02/2013]',-13.406
'[23:27:16.242 06/02/2013]',-13.750
'[23:27:16.243 06/02/2013]',-14.094
'[23:27:16.243 06/02/2013]',-14.438
'[23:27:16.244 06/02/2013]',-14.781
'[23:27:16.244 06/02/2013]',-15.094
'[23:27:16.245 06/02/2013]',-15.406
'[23:27:16.245 06/02/2013]',-15.688
'[23:27:16.246 06/02/2013]',-15.969
'[23:27:16.246 06/02/2013]',-16.219
'[23:27:16.247 06/02/2013]',-16.469
'[23:27:16.247 06/02/2013]',-16.688
'[23:27:16.248 06/02/2013]',-16.906
'[23:27:16.248 06/02/2013]',-17.094
'[23:27:16.249 06/02/2013]',-17.281
'[23:27:16.249 06/02/2013]',-17.406
'[23:27:16.250 06/02/2013]',-17.531
'[23:27:16.250 06/02/2013]',-17.656
'[23:27:16.250 06/02/2013]',-17.719
'[23:27:16.251 06/02/2013]',-17.781
'[23:27:16.251 06/02/2013]',-17.844
'[23:27:16.252 06/02/2013]',-17.844
'[23:27:16.252 06/02/2013]',-17.844
'[23:27:16.253 06/02/2013]',-17.813
'[23:27:16.253 06/02/2013]',-17.750
'[23:27:16.254 06/02/2013]',-17.688
'[23:27:16.254 06/02/2013]',-17.594
'[23:27:16.255 06/02/2013]',-17.438
'[23:27:16.255 06/02/2013]',-17.281
'[23:27:16.256 06/02/2013]',-17.125
'[23:27:16.256 06/02/2013]',-16.906
'[23:27:16.257 06/02/2013]',-16.656
'[23:27:16.257 06/02/2013]',-16.406
'[23:27:16.258 06/02/2013]',-16.094
'[23:27:16.258 06/02/2013]',-15.781
'[23:27:16.259 06/02/2013]',-15.438
'[23:27:16.259 06/02/2013]',-15.063
'[23:27:16.260 06/02/2013]',-14.656
'[23:27:16.260 06/02/2013]',-14.219
'[23:27:16.261 06/02/2013]',-13.781
'[23:27:16.261 06/02/2013]',-13.313
'[23:27:16.262 06/02/2013]',-12.813
'[23:27:16.262 06/02/2013]',-12.313
'[23:27:16.263 06/02/2013]',-11.813
'[23:27:16.263 06/02/2013]',-11.281
'[23:27:16.264 06/02/2013]',-10.719
'[23:27:16.264 06/02/2013]',-10.188
'[23:27:16.265 06/02/2013]',-9.625
'[23:27:16.265 06/02/2013]',-9.094
'[23:27:16.266 06/02/2013]',-8.531
'[23:27:16.266 06/02/2013]',-8.000
'[23:27:16.267 06/02/2013]',-7.438
'[23:27:16.267 06/02/2013]',-6.906
'[23:27:16.268 06/02/2013]',-6.375
'[23:27:16.268 06/02/2013]',-5.875
'[23:27:16.269 06/02/2013]',-5.375
'[23:27:16.269 06/02/2013]',-4.875
'[23:27:16.270 06/02/2013]',-4.406
'[23:27:16.270 06/02/2013]',-3.938
'[23:27:16.271 06/02/2013]',-3.500
'[23:27:16.271 06/02/2013]',-3.063
'[23:27:16.271 06/02/2013]',-2.656
'[23:27:16.272 06/02/2013]',-2.281
'[23:27:16.272 06/02/2013]',-1.906
'[23:27:16.273 06/02/2013]',-1.531
'[23:27:16.273 06/02/2013]',-1.188
'[23:27:16.274 06/02/2013]',-0.844
'[23:27:16.274 06/02/2013]',-0.531
'[23:27:16.275 06/02/2013]',-0.250
'[23:27:16.275 06/02/2013]',0.000
'[23:27:16.276 06/02/2013]',0.281
'[23:27:16.276 06/02/2013]',0.531
'[23:27:16.277 06/02/2013]',0.781
'[23:27:16.277 06/02/2013]',1.031
'[23:27:16.278 06/02/2013]',1.250
'[23:27:16.278 06/02/2013]',1.469
'[23:27:16.279 06/02/2013]',1.688
'[23:27:16.279 06/02/2013]',1.875
'[23:27:16.280 06/02/2013]',2.063
'[23:27:16.280 06/02/2013]',2.250
'[23:27:16.281 06/02/2013]',2.406
'[23:27:16.281 06/02/2013]',2.594
'[23:27:16.282 06/02/2013]',2.719
'[23:27:16.282 06/02/2013]',2.875
'[23:27:16.283 06/02/2013]',3.000
'[23:27:16.283 06/02/2013]',3.125
'[23:27:16.284 06/02/2013]',3.250
'[23:27:16.284 06/02/2013]',3.344
'[23:27:16.285 06/02/2013]',3.438
'[23:27:16.285 06/02/2013]',3.500
'[23:27:16.286 06/02/2013]',3.563
'[23:27:16.286 06/02/2013]',3.625
'[23:27:16.287 06/02/2013]',3.656
'[23:27:16.287 06/02/2013]',3.688
'[23:27:16.288 06/02/2013]',3.719
'[23:27:16.288 06/02/2013]',3.719
'[23:27:16.289 06/02/2013]',3.719
'[23:27:16.289 06/02/2013]',3.719
'[23:27:16.290 06/02/2013]',3.719
'[23:27:16.290 06/02/2013]',3.688
'[23:27:16.291 06/02/2013]',3.625
'[23:27:16.291 06/02/2013]',3.594
'[23:27:16.292 06/02/2013]',3.531
'[23:27:16.292 06/02/2013]',3.469
'[23:27:16.292 06/02/2013]',3.375
'[23:27:16.293 06/02/2013]',3.313
'[23:27:16.293 06/02/2013]',3.219
'[23:27:16.294 06/02/2013]',3.094
